name,lat,lng,open_time,close_time,photo_url,address,mobile_number,website_url
"Hayes & Co PTY LTD",-27.8816699,152.6097717,,,,"5380 Cunningham Hwy, Silverdale QLD 4307, Australia","+61 7 5463 8099","https://hayesandco.com.au/"
"Coffs Coast Firearms",-30.289926,153.1187432,,,,"40 Marcia St, Coffs Harbour NSW 2450, Australia","+61 444 520 401","https://www.coffscoastfirearms.com.au/"
"Mackay Gun Shop",-21.1425988,149.192395,,,,"7 Lawson St, Mackay QLD 4740, Australia","+61 7 4804 7915","https://mackaygunshop.com.au/"
"Browns Plains Firearms",-27.6623999,153.0435281,,,,"3/101 Grand Plaza Dr, Browns Plains QLD 4118, Australia","+61 7 3800 7950","https://brownsplainsfirearms.com/"
"North West Rural Supplies",-28.5305557,150.2958374,,,,"14 Troy Dr, Goondiwindi QLD 4390, Australia","+61 7 4671 1888"
"New Zealand",-40.900557,174.885971,,,,"New Zealand"
"Southern Wild",-44.6952426,169.1352529,,,,"10 Helwick Street, Wānaka 9305, New Zealand","+64 3 443 8094","https://southernwild.nz/"
"Ballingers Hunting & Fishing",-43.5389949,172.6047195,,,,"75 Clarence Street, Addington, Christchurch 8011, New Zealand","+64 3 343 0212","https://www.huntingandfishing.co.nz/"
"Kaikoura Hunting & Fishing Ltd",-42.3871307,173.6797778,,,,"Harakeke Shopping Centre, 130 Beach Road, Kaikōura 7300, New Zealand","+64 3 319 6648","https://www.huntingandfishing.co.nz/"
"North Canterbury Hunting & Fishing",-43.329061,172.5992894,,,,"343B Flaxton Road, Rangiora 7440, New Zealand","+64 3 313 1313","https://www.huntingandfishing.co.nz/"
"Christchurch (Ballingers) Hunting & Fishing New Zealand",-43.538883,172.6042106,,,,"75 Clarence Street, Addington, Christchurch 8011, New Zealand","+64 3 343 0212","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand - Wairarapa",-40.9494782,175.6624027,,,,"319 Ngaumutawa Road, Solway, Masterton 5180, New Zealand,"+64 6 378 8723","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand - Hutt Valley",-41.2249391,174.8690854,,,,"8 Te Puni Street, Petone, Lower Hutt 5010, New Zealand","+64 4 589 9500","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing Otaki",-40.762991,175.1541085,,,,"179 Main Highway, Ōtaki 5512, New Zealand","+64 6 364 8969","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing Westgate",-36.8220115,174.6096156,,,,"7 Cabernet Crescent, Westgate, North 0614, New Zealand","+64 9 833 3019","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand",-36.9311111,174.9102778,,,,"5 Te Koha Road, East Tāmaki, Auckland 2013, New Zealand","+64 9 271 4421","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand Gisborne",-38.6624899,178.0203031,,,,"310 Gladstone Road, Gisborne 4010, New Zealand","+64 6 867 3981","https://www.huntingandfishing.co.nz/"
"Wild Outdoorsman",-42.7183659,170.9619809,,,,"28 Tancred Street, Hokitika 7810, New Zealand","+64 3 755 8947","https://www.wildoutdoorsman.co.nz/"
"Wild Outdoorsman - Fishing and Firearms",-42.4506295,171.2110993,,,,"63 Tainui Street, Greymouth 7805, New Zealand","+64 3 768 0206","https://www.wildoutdoorsman.co.nz/"
"Hunting & Fishing New Zealand - Dunedin",-45.8823505,170.5014142,,,,"141 Crawford Street, Central Dunedin, Dunedin 9016, New Zealand","+64 3 477 6665","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand, Invercargill",-46.4077182,168.3530089,,,,"97 Leet Street, Invercargill 9810, New Zealand","+64 3 218 3396","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing Queenstown",-45.0266469,168.7435439,,,,"Building 7, Remarkables Park Town Centre, Frankton, Queenstown 9300, New Zealand","+64 3 442 2844","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand - Kaitaia",-35.0969836,173.2597617,,,,"11 North Park Drive, Kaitaia 0410, New Zealand","+64 9 408 0906","https://www.huntingandfishing.co.nz/"
"Hunting and fishing",-38.1392504,176.2513806,,,,"1291 Tutanekai Street, Rotorua 3010, New Zealand","+64 800 486 834","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand Taupo, Fly & Gun",-38.6848426,176.0719942,,,,"27 Gascoigne Street, Taupō 3330, New Zealand","+64 7 378 4449","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand - Napier",-39.4968305,176.8831203,,,,"170/180 Taradale Road, Pirimai, Napier 4112, New Zealand","+64 6 835 9016","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand - Taranaki",-39.0595769,174.0486036,,,,"35 Ocean View Parade, Moturoa, New Plymouth 4310, New Zealand","+64 6 757 2255","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand - Dannevirke",-40.2083088,176.1010171,,,,"145 High Street, Manawatu, Dannevirke 4930, New Zealand","+64 6 374 5300","https://www.huntingandfishing.co.nz/"
"Waikato Hunting and Fishing",-37.7548657,175.2441282,,,,"674a Te Rapa Road, Te Rapa, Hamilton 3200, New Zealand","+64 7 849 0297","https://www.huntingandfishing.co.nz/"
"Bronco's Outdoors",-37.6826329,176.1689799,,,,"88 Willow Street, Tauranga 3110, New Zealand","+64 7 578 6904","https://broncos.co.nz/"
"Hunting & Fishing",-37.6748039,176.1660464,,,,"65 Chapel Street, Tauranga 3110, New Zealand","+64 7 928 4303","https://www.huntingandfishing.co.nz/"
"Whakatane Hunting and Fishing",-37.957145,176.99432,,,,"129 Commerce Street, Whakatane, Whakatāne 3120, New Zealand","+64 7 308 7528","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand",-44.394241,171.2480841,,,,"The Landings Unit 1/50 Theodosia Street, Central, Timaru 7910, New Zealand","+64 3 684 8835","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand - Ashburton",-43.8952278,171.7578074,,,,"393 West Street, Allenton, Ashburton 7700, New Zealand","+64 3 308 5117","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand North Otago",-45.0956584,170.9716295,,,,"172 Thames Street, Oamaru 9400, New Zealand","+64 3 434 9893","https://www.huntingandfishing.co.nz/"
"Hunting & Fishing New Zealand - Manawatu",-40.3515595,175.6095438,,,,"35 Grey Street, Palmerston North Central, Palmerston North 4410, New Zealand","+64 6 355 3101","https://www.huntingandfishing.co.nz/"
"Thames Hunting & Fishing",-37.1876751,175.5707368,,,,"Thames, New Zealand"
"Franklin Hunting & Fishing",-37.2113714,174.9146256,,,,"Pukekohe, New Zealand"
"Whanganui Hunting & Fishing",-39.9383581,175.0356514,,,,"Whanganui, New Zealand"
"Hamills Rotorua",-38.1384179,176.2535202,,,,"1271 Fenton Street, Rotorua 3010, New Zealand","+64 7 348 3147",""
"Hunting & Fishing",-35.7309254,174.3262458,,,,"16 Okara Drive, Whangārei 0110, New Zealand","+64 9 929 9713","https://www.huntingandfishing.co.nz/"
"Dargaville Hunting & Fishing New Zealand",-35.9411919,173.8698117,,,,"92 Victoria Street, Dargaville 0310, New Zealand","+64 9 439 8520","https://www.huntingandfishing.co.nz/"
"Whangarei (McCoy & Thomas) Hunting & Fishing",-35.7245677,174.3190808,,,,"2 Rust Street, Whangārei 0110, New Zealand","+64 9 438 3111","https://www.huntingandfishing.co.nz/"
"Marlborough Hunting & Fishing",-41.5135955,173.9642717,,,,"46 Main Street, Blenheim Central, Blenheim 7201, New Zealand","+64 3 579 1600","https://www.huntingandfishing.co.nz/"
"Central Otago Hunting & Fishing New Zealand",-45.035202,169.192976,,,,"7 Iles Street, Cromwell 9310, New Zealand","+64 3 445 4830","https://www.huntingandfishing.co.nz/"
"McCoy & Thomas Sports KeriKeri Hunting & Fishing New Zealand",-35.23032,173.9466692,,,,"23/25 Kerikeri Inlet Road, Kerikeri 0230, New Zealand","+64 9 401 7501","https://www.huntingandfishing.co.nz/"
"North Shore Hunting & Fishing",-36.7484763,174.7280442,,,,"1 Holder Place, Rosedale, Auckland 0632, New Zealand","+64 9 869 3331","https://www.huntingandfishing.co.nz/"
"Rotorua Hunting & Fishing New Zealand",-38.1430522,176.2822709,,,,"360 Te Ngae Road, Lynmore Junction, Lynmore, Rotorua 3010, New Zealand","+64 7 349 6303","https://www.huntingandfishing.co.nz/"
"Rivers to Ranges Hastings",-39.6395218,176.839725,,,,"106 Nelson Street South, Hastings 4122, New Zealand","+64 6 878 7177","https://www.riverstoranges.co.nz/"
"Seriously Outdoors",-38.8832401,175.2640458,,,,"99 Hakiaha Street, Taumarunui 3920, New Zealand","+64 7 896 6497","https://www.seriouslyoutdoors.co.nz/"
"Nelson Hunting & Fishing New Zealand",-41.2970904,173.2424849,,,,"Nelson Junction Tenancy E/99 Quarantine Road, Annesbrook, Nelson 7011, New Zealand","+64 3 548 1840","https://www.huntingandfishing.co.nz/"
"RYDA DOT COM - Car Audio, Cameras, GPS, Security & Electronics Shop",-33.889999,151.149287,,,,"730-738 Parramatta Rd, Petersham NSW 2049, Australia","+61 2 9568 8888","https://www.ryda.com.au/?utm_source=gmb&utm_medium=organic"
"Cambridge Hunting & Fishing",-37.891829,175.4764311,,,,"2 Oliver Street, Cambridge 3434, New Zealand","+64 7 834 3553","https://www.huntingandfishing.co.nz/"
"Hamills Outlet Store, Napier",-39.4863505,176.890884,,,,"46 Pandora Road, Pandora, Napier 4110, New Zealand","+64 6 835 5651"

"Hamills New Zealand",-37.6954,176.161,,,,"437 Cameron Road, Tauranga South, Tauranga 3110, New Zealand","+64 7 578 0995",""
"Bridgestreet Automotive Limited",-38.012,177.2832,,,,"69 Bridge Street, Opotiki, Ōpōtiki 3122, New Zealand","+64 7 315 4046"
"Taihape Sports and Outdoors",-39.6768,175.798,,,,"101 Hautapu Street, Taihape 4720, New Zealand","+64 6 388 1762","https://taihapesports.co.nz/"
"Magnum Sports",-39.3385,174.2846,,,,"Stratford West 4332, New Zealand","+64 6 765 7248"
"CHB Fishing and Shooting",-39.9947,176.5524,,,,"100 Ruataniwha Street, Waipukurau 4200, New Zealand"


"Mitchell Outdoors & Sports",-40.2092,176.0989,,,,"100 High Street, Dannevirke 4930, New Zealand","+64 6 374 7761","https://mitchelloutdoors.co.nz/"
"Turners Sports",-40.2269,175.5653,,,,"71 Manchester Street, Feilding 4702, New Zealand","+64 6 323 4933","https://turnerssports.co.nz/"
"King & Henry",-40.9486,175.6637,,,,"35 Queen Street, Masterton 5810, New Zealand","+64 6 377 4569","https://www.kingandhenry.co.nz/"
"Charleville Fishing Hunting & Camping",-26.4014,146.2403,,,,"72/78 Alfred St, Charleville QLD 4470, Australia","+61 474 849 251",""
"Jacobs Digital",-36.8121,174.7257,,,,"9 Mokoia Road, Birkenhead, Auckland 0626, New Zealand","+64 9 480 5903","https://www.jacobsdigital.co.nz/"


"Tough Gear Hunting",-35.3403,149.2407,,,,"35 Carrington St, Queanbeyan NSW 2620, Australia","+61 2 6297 8833","https://toughgear.com.au/"
"Lincoln Rural ( + The Boot Room )",-34.7239,135.8625,,,,"74-76 Liverpool St, Port Lincoln SA 5606, Australia","+61 8 8682 2711","https://lincolnrural.com.au/"
"Platinum Ag Services",-34.448,140.5843,,,,"22 Cashmore Ave, Loxton SA 5333, Australia","+61 8 8584 4826",""
"Platinum Ag Services",-33.8193,138.6009,,,,"412 Main N Rd, Clare SA 5453, Australia","+61 8 8842 3277"

